h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,nv,JHU_CSSE-DECOM,2020-10-05,2020-10-10,29.14286,29.25714,31.35714,44.47619,47.14286,50.28571,54.5,58.71429,61.85714,63.71429,69.12245,74.96429,75.95605,78.85715,84.85714,87.21429,90.92857,95.00649,100.8507,105.9643,116.5893,132.75,184.4286,39.0
1,nh,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.0,0.2678572,0.6236934,0.7402598,0.9980782,1.236842,1.428571,1.714286,1.857143,2.0,2.428571,2.942858,3.267858,3.428571,3.864728,4.0,4.026607,4.142857,5.294643,5.830357,8.571428,9.196429,9.383929,13.0
1,nj,JHU_CSSE-DECOM,2020-10-05,2020-10-10,12.73469,13.92857,17.14286,21.71428,22.14286,23.52101,25.85714,26.39286,28.64286,29.14286,33.57143,34.0,35.14286,36.60714,37.3956,40.71429,41.85714,43.57143,46.20737,48.14286,48.96296,64.11905,64.71429,36.0
1,nm,JHU_CSSE-DECOM,2020-10-05,2020-10-10,14.28571,15.07143,15.95238,18.90476,20.42857,21.28572,21.57143,21.71428,22.28572,22.6044,23.48571,24.48571,25.35714,27.70968,28.28572,29.71428,31.73809,33.22857,33.77922,38.07563,42.61905,50.0,62.07143,17.0
1,ny,JHU_CSSE-DECOM,2020-10-05,2020-10-10,3.285714,6.142857,9.095238,20.07143,21.22449,25.85714,32.91429,43.14286,49.42857,55.64286,63.89286,64.60714,66.53572,71.57143,82.6,88.48571,111.0,122.0,138.4821,141.9565,155.1039,174.539,204.013,89.0
1,nc,JHU_CSSE-DECOM,2020-10-05,2020-10-10,80.09524,100.9714,106.5714,122.0,127.3214,129.9714,133.2857,138.6,139.2857,141.0476,142.6607,149.6429,151.9796,154.4286,156.4762,161.4286,163.7429,163.9657,165.2941,173.8571,195.6429,234.875,285.3393,136.0
1,nd,JHU_CSSE-DECOM,2020-10-05,2020-10-10,32.46939,32.78572,34.47619,36.375,37.53571,40.42857,43.14286,44.85714,45.42857,47.85714,49.66667,51.59184,52.45714,53.14286,54.34286,55.28572,56.30357,57.83673,61.42857,65.62857,69.71429,76.11905,76.85714,65.0
1,oh,JHU_CSSE-DECOM,2020-10-05,2020-10-10,79.51191,80.01191,87.62245,101.5952,108.7143,114.0,121.5143,124.3214,129.2857,136.0,139.9524,148.7143,151.8571,154.3036,157.8571,161.978,163.9429,165.479,172.2857,199.9524,427.6429,654.25,783.25,147.0
1,ok,JHU_CSSE-DECOM,2020-10-05,2020-10-10,36.35714,39.64286,43.14286,48.35714,49.42857,52.38095,54.18367,55.48979,56.67857,60.14286,65.85714,69.71429,73.32143,74.03572,75.10357,76.92063,78.92857,80.71429,94.67857,101.6975,144.7143,164.7143,164.7143,44.0
1,or,JHU_CSSE-DECOM,2020-10-05,2020-10-10,17.35714,23.90476,25.61224,27.71429,30.09524,34.31429,36.31428,37.28571,39.93507,40.71429,41.45055,45.29824,45.42857,49.73214,54.90476,56.89835,58.71429,64.48809,68.18012,69.32,69.85714,77.22857,83.68572,28.0
1,pa,JHU_CSSE-DECOM,2020-10-05,2020-10-10,80.21429,82.28572,89.05714,102.0,105.7143,105.8095,109.8571,114.0779,115.4286,119.4286,122.1786,124.1429,126.0649,128.7959,129.9184,132.2245,137.9524,148.8929,151.4745,161.4286,177.7302,206.6429,327.5286,141.0
1,ri,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.004761899,0.5,1.102041,1.571429,2.452381,3.642857,4.102041,4.952381,5.956044,6.203297,6.857143,7.571429,8.214286,9.197802,9.285714,10.0,11.36364,13.92857,16.71428,20.8817,21.41234,28.14286,30.02857,17.0
1,sc,JHU_CSSE-DECOM,2020-10-05,2020-10-10,103.6857,116.8378,120.3127,127.2625,132.0252,137.0,155.1429,162.7143,167.1366,169.1029,176.5143,186.7857,198.2,204.5714,207.3193,209.4538,212.1429,214.0,218.7143,224.0714,347.2,378.7273,383.461,109.0
1,sd,JHU_CSSE-DECOM,2020-10-05,2020-10-10,20.14286,25.85714,28.53061,33.5,37.04762,40.46939,44.28571,45.40452,48.375,54.39286,58.28572,62.71429,69.61905,71.14286,77.03572,85.88889,89.04762,94.21429,102.4962,112.1327,118.5099,128.0147,134.1912,38.0
1,tn,JHU_CSSE-DECOM,2020-10-05,2020-10-10,127.7429,131.9143,198.8929,249.8571,276.4082,282.1429,299.6,306.1579,307.3429,314.5714,317.0559,321.2554,325.2278,327.0811,330.8413,338.1429,374.8572,388.9821,443.3247,465.0075,491.916,516.7395,532.7227,198.0
1,tx,JHU_CSSE-DECOM,2020-10-05,2020-10-10,304.7143,315.3297,332.5625,367.1964,415.8512,428.619,434.0952,435.0779,437.2857,441.2857,462.0,465.3286,499.0879,506.746,536.6429,558.6857,571.2143,578.2449,603.8571,627.8403,655.4796,690.381,746.2286,634.0
1,ut,JHU_CSSE-DECOM,2020-10-05,2020-10-10,11.07143,13.28571,15.57143,17.64286,22.07143,24.88095,25.85714,33.67857,37.16667,43.0,48.04082,54.92857,62.64286,63.89063,64.7931,65.58128,76.375,88.51428,94.82857,114.8571,139.4967,147.3506,160.1905,34.0
1,vt,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152074,0.3364058,0.4285714,0.4857159,1.057143,1.666667,0.0
1,va,JHU_CSSE-DECOM,2020-10-05,2020-10-10,75.82857,80.09524,98.7013,101.9524,108.8214,112.2857,114.0,116.8571,119.8571,122.0,124.5714,128.7857,130.5714,135.9388,138.8095,140.0,151.4286,152.5429,155.6531,161.7857,165.3077,167.4416,200.1607,84.0
1,wa,JHU_CSSE-DECOM,2020-10-05,2020-10-10,3.285714,6.428571,8.285714,17.60714,20.5042,21.39048,25.11278,27.07389,28.68571,35.92857,44.57143,49.42857,54.60714,58.35714,63.16,64.89714,65.81143,79.11905,90.36735,103.7143,137.5,149.945,161.022,45.0
