h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
2,hi,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.5,1.831,3.268,3.974,5.214,5.828,6.494,7.195,8.035,9.226,10.127,10.448,11.356,12.022,13.13,14.101,17.297,25.317,7.0
3,hi,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.63,2.275,3.305,3.553,4.295,4.602,5.936,6.868,8.286,9.687,10.541,11.24,12.329,13.738,14.956,16.219,20.637,32.902,15.0
4,hi,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,1.649,1.948,2.714,3.971,4.846,6.985,7.947,8.434,8.774,9.492,11.112,12.24,13.99,15.246,16.383,19.237,36.615,22.0
1,id,CEID-Walk,2020-08-09,2020-08-15,2.147,4.789,13.171,15.344,24.197,27.784,29.763,30.617,32.938,36.069,37.729,41.344,43.263,46.241,47.863,50.692,52.532,54.592,56.237,58.251,61.053,66.113,77.873,34.0
2,id,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,13.028,16.687,21.381,26.893,28.853,31.699,34.516,38.35,40.212,44.652,45.399,49.486,52.535,55.13,61.394,63.077,68.704,78.368,83.623,91.845,37.0
3,id,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,9.615,15.841,23.205,26.221,31.471,35.022,38.427,40.954,43.507,44.875,46.736,50.439,56.255,64.063,69.113,74.353,88.378,94.533,103.198,52.0
4,id,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,1.964,9.019,18.543,27.057,30.869,36.368,42.244,44.252,45.865,49.87,52.731,57.11,60.935,64.198,68.619,75.316,84.701,96.285,104.976,26.0
1,il,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.0,15.9,46.164,65.907,88.554,91.848,108.183,117.388,138.48,148.474,174.315,187.082,196.018,209.134,230.91,259.397,284.598,333.379,357.408,501.198,97.0
2,il,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.0,1.188,34.364,60.121,79.673,102.74,109.762,130.425,169.409,189.391,209.603,232.155,276.403,294.502,317.59,365.651,412.728,602.703,146.0
3,il,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.089,69.053,100.761,114.283,130.715,163.288,189.009,224.992,247.212,288.559,357.211,428.32,475.216,522.623,559.029,134.0
